,rec_id,date,ppe,qty
1,rec0,2020-04-02 16:27:00+00:00,faceShields,5000.0
9,rec0,2020-04-02 16:27:00+00:00,nitrileGloves,10000.0
13,rec0,2020-04-02 16:27:00+00:00,respirators,10000.0
14,rec0,2020-04-02 16:27:00+00:00,gowns,1000.0
19,rec1,2020-04-02 16:35:00+00:00,faceShields,9.0
26,rec1,2020-04-02 16:35:00+00:00,handmadeMasks,9.0
27,rec1,2020-04-02 16:35:00+00:00,nitrileGloves,5.0
30,rec1,2020-04-02 16:35:00+00:00,handSanitizer,4.0
31,rec1,2020-04-02 16:35:00+00:00,respirators,9.0
32,rec1,2020-04-02 16:35:00+00:00,gowns,9.0
34,rec1,2020-04-02 16:35:00+00:00,disinfectingWipes,4.0
37,rec2,2020-04-02 16:44:00+00:00,faceShields,10.0
38,rec2,2020-04-02 16:44:00+00:00,thermometers,20.0
42,rec2,2020-04-02 16:44:00+00:00,disposableBooties,100.0
48,rec2,2020-04-02 16:44:00+00:00,handSanitizer,25.0
49,rec2,2020-04-02 16:44:00+00:00,respirators,5.0
50,rec2,2020-04-02 16:44:00+00:00,gowns,100.0
52,rec2,2020-04-02 16:44:00+00:00,disinfectingWipes,300.0
55,rec3,2020-04-02 16:47:00+00:00,faceShields,200.0
56,rec3,2020-04-02 16:47:00+00:00,thermometers,50.0
62,rec3,2020-04-02 16:47:00+00:00,handmadeMasks,100.0
63,rec3,2020-04-02 16:47:00+00:00,nitrileGloves,100.0
66,rec3,2020-04-02 16:47:00+00:00,handSanitizer,100.0
67,rec3,2020-04-02 16:47:00+00:00,respirators,200.0
68,rec3,2020-04-02 16:47:00+00:00,gowns,400.0
70,rec3,2020-04-02 16:47:00+00:00,disinfectingWipes,50.0
74,rec4,2020-04-02 16:54:00+00:00,thermometers,2.0
84,rec4,2020-04-02 16:54:00+00:00,handSanitizer,4.0
85,rec4,2020-04-02 16:54:00+00:00,respirators,10.0
86,rec4,2020-04-02 16:54:00+00:00,gowns,30.0
91,rec5,2020-04-02 16:55:00+00:00,faceShields,100.0
92,rec5,2020-04-02 16:55:00+00:00,thermometers,100.0
96,rec5,2020-04-02 16:55:00+00:00,disposableBooties,100.0
98,rec5,2020-04-02 16:55:00+00:00,handmadeMasks,100.0
102,rec5,2020-04-02 16:55:00+00:00,handSanitizer,250.0
103,rec5,2020-04-02 16:55:00+00:00,respirators,150.0
104,rec5,2020-04-02 16:55:00+00:00,gowns,250.0
106,rec5,2020-04-02 16:55:00+00:00,disinfectingWipes,100.0
114,rec6,2020-04-02 16:56:00+00:00,disposableBooties,500.0
